Driver,Points,Race
Verstappen,0,0
Verstappen,18,1
Verstappen,43,2
Verstappen,61,3
Verstappen,80,4
Verstappen,105,5
Verstappen,105,6
Verstappen,131,7
Verstappen,156,8
Verstappen,182,9
Verstappen,185,10
Verstappen,187,11
Verstappen,199.5,12
Verstappen,224.5,13
Verstappen,226.5,14
Verstappen,244.5,15
Verstappen,262.5,16
Verstappen,287.5,17
Verstappen,312.5,18
Verstappen,332.5,19
Verstappen,351.5,20
Verstappen,369.5,21
Verstappen,395.5,22
Hamilton,0,0
Hamilton,25,1
Hamilton,44,2
Hamilton,69,3
Hamilton,94,4
Hamilton,101,5
Hamilton,101,6
Hamilton,119,7
Hamilton,138,8
Hamilton,150,9
Hamilton,177,10
Hamilton,195,11
Hamilton,202.5,12
Hamilton,221.5,13
Hamilton,221.5,14
Hamilton,246.5,15
Hamilton,256.5,16
Hamilton,275.5,17
Hamilton,293.5,18
Hamilton,318.5,19
Hamilton,343.5,20
Hamilton,369.5,21
Hamilton,387.5,22
