Driver,Points,Race
Hakkinen,0,0
Hakkinen,0,1
Hakkinen,10,2
Hakkinen,10,3
Hakkinen,14,4
Hakkinen,24,5
Hakkinen,34,6
Hakkinen,40,7
Hakkinen,40,8
Hakkinen,44,9
Hakkinen,44,10
Hakkinen,54,11
Hakkinen,60,12
Hakkinen,60,13
Hakkinen,62,14
Hakkinen,66,15
Hakkinen,76,16
Irvine,0,0
Irvine,10,1
Irvine,12,2
Irvine,12,3
Irvine,18,4
Irvine,21,5
Irvine,25,6
Irvine,26,7
Irvine,32,8
Irvine,42,9
Irvine,52,10
Irvine,56,11
Irvine,59,12
Irvine,60,13
Irvine,60,14
Irvine,70,15
Irvine,74,16
