Driver,Points,Race
Schumacher,0,0
Schumacher,10,1
Schumacher,20,2
Schumacher,30,3
Schumacher,34,4
Schumacher,36,5
Schumacher,46,6
Schumacher,46,7
Schumacher,56,8
Schumacher,56,9
Schumacher,56,10
Schumacher,56,11
Schumacher,62,12
Schumacher,68,13
Schumacher,78,14
Schumacher,88,15
Schumacher,98,16
Schumacher,108,17
Hakkinen,0,0
Hakkinen,0,1
Hakkinen,0,2
Hakkinen,6,3
Hakkinen,12,4
Hakkinen,22,5
Hakkinen,28,6
Hakkinen,29,7
Hakkinen,32,8
Hakkinen,38,9
Hakkinen,48,10
Hakkinen,54,11
Hakkinen,64,12
Hakkinen,74,13
Hakkinen,80,14
Hakkinen,80,15
Hakkinen,86,16
Hakkinen,89,17
